id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23534846,ALAMEDA FLAT - Very central,2372087,Albertino,Lisboa,Arroios,38.73454,-9.13865,Entire home/apt,100,3,112,2024-11-15,1.36,63,321,41,65507/AL
23535563,Chalet Sintra 1892 - Room 4 by LovelyStay,20864918,Daniel,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80059,-9.38288,Private room,214,2,94,2021-09-30,1.16,6,159,0,51850/AL
23536727,Couple Room Lisbon center,175836328,Paulo,Lisboa,Arroios,38.72726,-9.13644,Private room,,2,14,2018-10-13,0.17,1,0,0,Exempt
23538585,One-Bedroom Apartment VI w/ terrace Central Lisbon,169879666,Lis Apartments,Lisboa,Arroios,38.72098,-9.13742,Entire home/apt,161,1,88,2024-05-08,1.10,6,98,1,59210/AL
23539040,Lisbon Central Apartment II,151681043,Pedro,Lisboa,Avenidas Novas,38.73898,-9.14805,Entire home/apt,92,1,77,2024-12-01,0.95,2,129,19,68333/AL
23553084,Inglesinhos Convento 2 - Cheerful Apartment,152067692,Carolina,Lisboa,Misericrdia,38.71049,-9.14733,Entire home/apt,218,3,269,2024-12-02,3.46,8,240,64,63129/AL
23555098,Charming Apartment in Chiado,176003783,Joaquim,Lisboa,Misericrdia,38.70969,-9.15027,Entire home/apt,69,4,92,2024-11-18,1.14,1,66,30,40505/AL
23559285,Luxury Studio Single Parede,97963018,Ricardo,Cascais,Carcavelos e Parede,38.69023,-9.35577,Private room,61,1,51,2024-08-26,0.70,4,365,3,69924/AL
23559424,"CASA DAS PONTES - COXOS - RIBAMAR, ERICEIRA",176036189,Irene,Mafra,Santo Isidoro,39.0031,-9.42656,Entire home/apt,135,5,20,2024-07-20,0.26,1,192,1,67528/AL
23560628,Da Silva Surfcamp 4 Bettzimmer,1659960,Daniel,Lourinh,Lourinh e Atalaia,39.27408,-9.31919,Shared room,75,3,0,,,35,364,0,8651/AL
23561166,Da Silva Surfcamp - Red Room,1659960,Daniel,Lourinh,Lourinh e Atalaia,39.2741,-9.3192,Entire home/apt,132,1,0,,,35,364,0,8651/AL
23562525,FLH Garden House near Ericeira I,3953109,Feels Like Home,Sintra,So Joo das Lampas e Terrugem,38.89875411987305,-9.430865287780762,Entire home/apt,59,1,17,2024-08-10,0.22,279,348,2,22405/AL
23562823,FLH Garden House near Ericeira II,3953109,Feels Like Home,Sintra,So Joo das Lampas e Terrugem,38.89875411987305,-9.430865287780762,Entire home/apt,83,1,20,2023-08-03,0.26,279,339,0,22405/AL
23565890,Belém Contemporary Haven: Riverside Quiet Retreat,169164169,Francisco,Lisboa,Ajuda,38.70326283445047,-9.200693358616062,Entire home/apt,61,2,310,2024-11-22,3.86,13,249,41,71616/AL
23573492,Beautifully Restored Cottage on Patio in Historic Center C,175293027,Victor,Lisboa,So Vicente,38.71563,-9.12809,Entire home/apt,122,2,119,2024-12-03,1.48,8,176,34,65290/AL
23575362,Penthouse on the Tagus in Alfama by LovelyStay,176199235,Caroline,Lisboa,Santa Maria Maior,38.70968643056769,-9.132613408273453,Entire home/apt,137,2,153,2024-10-20,1.87,1,245,6,65046/AL
23586621,Chiado Mercy II,54254797,Rogacilene,Lisboa,Santa Maria Maior,38.71258,-9.14307,Entire home/apt,120,3,123,2024-11-26,1.49,2,313,37,62134/AL
